,name,links,type,Year,Article Type,Total,Citations in 2010
0,The Microbial Engines That Drive Earth's Biogeochemical Cycles,https://science.sciencemag.org/content/320/5879/1034,Special Reviews,2008,Review,1358,40
264,The Miller Volcanic Spark Discharge Experiment,https://science.sciencemag.org/content/322/5900/404,Brevia,2008,Research Article,197,24
131,Serotonin Modulates Behavioral Reactions to Unfairness,https://science.sciencemag.org/content/320/5884/1739,Brevia,2008,Research Article,265,21
344,"Enzymes Without Borders: Mobilizing Substrates, Delivering Products",https://science.sciencemag.org/content/321/5886/213,Review,2008,Review,43,7
351,Long-Term Sea-Level Fluctuations Driven by Ocean Basin Dynamics,https://science.sciencemag.org/content/319/5868/1357,Research Article,2008,Research Article,458,29
130,Direct Imaging of Multiple Planets Orbiting the Star HR 8799,https://science.sciencemag.org/content/322/5906/1348,Research Article,2008,Research Article,1149,143
125,Magnetic Source Separation in Earth's Outer Core,https://science.sciencemag.org/content/321/5897/1800,Brevia,2008,Research Article,25,0
40,Stochasticity and Cell Fate,https://science.sciencemag.org/content/320/5872/65,Review,2008,Review,442,40
334,Core Signaling Pathways in Human Pancreatic Cancers Revealed by Global Genomic Analyses,https://science.sciencemag.org/content/321/5897/1801,Research Article,2008,Research Article,2854,274
73,Bat White-Nose Syndrome: An Emerging Fungal Pathogen?,https://science.sciencemag.org/content/323/5911/227,Brevia,2008,Research Article,600,30
324,Optical Negative Refraction in Bulk Metamaterials of Nanowires,https://science.sciencemag.org/content/321/5891/930,Brevia,2008,Research Article,649,73
254,Quantum State Engineering and Precision Metrology Using State-Insensitive Light Traps,https://science.sciencemag.org/content/320/5884/1734,Review,2008,Review,264,28
197,Mercury's Exosphere: Observations During MESSENGER's First Mercury Flyby,https://science.sciencemag.org/content/321/5885/92,Special Reports,2008,Research Article,60,1
